"Marca temporal","Antes de comenzar:
La información que proporciones será manejada de forma confidencial únicamente con fines de investigación. Tu participación contestando el presente cuestionario es voluntaria y anónima.
He leído y comprendido la información proporcionada sobre este cuestionario. Entiendo que la participación en este estudio es voluntaria y que puedo dejar de responder en cualquier momento sin consecuencias. ","Edad","Sexo:","Estado civil:","Nombre de la Universidad:","Nivel académico que estudias","Carrera que cursa: ","Semestre o cuatrimestre actual:","Promedio actual:","Promedio global o último registrado ","Número de integrantes en su hogar:","Escolaridad del padre: ","Escolaridad de la madre: ","Ingreso familiar mensual aproximado:","Hábitos de Estudio [Dedico tiempo fijo cada día para estudiar.]","Hábitos de Estudio [Suelo subrayar o resumir para comprender mejor los temas.]","Hábitos de Estudio [Estudio únicamente cuando se acerca un examen.]","Hábitos de Estudio [Busco espacios sin distracciones para estudiar.]","Hábitos de Estudio [Planifico mis actividades académicas con anticipación.]","Hábitos de Estudio [Me cuesta organizar mis tiempos para estudiar.]","Hábitos de Estudio [Utilizo técnicas de estudio diferentes según la materia.]","Hábitos de Estudio [Dejo las tareas para el último momento.]","Motivación [Estudiar me resulta personalmente satisfactorio.]","Motivación [Siento curiosidad por aprender cosas nuevas en mis clases.]","Motivación [Estudio principalmente para obtener buenas calificaciones.]","Motivación [Me esfuerzo más cuando recibo reconocimiento externo.]","Motivación [Disfruto aprender incluso si no afecta mis calificaciones.]","Motivación [Si no hubiera calificaciones, estudiaría mucho menos.]","Motivación [Me organizo porque quiero sentirme competente académicamente.]","Motivación [Solo estudio cuando hay presión por parte de docentes o familia.]","Dinámicas familiares [En mi familia conversamos abiertamente sobre la escuela.]","Dinámicas familiares [Mis padres o tutores revisan o preguntan por mi desempeño académico.]","Dinámicas familiares [En casa existen conflictos que dificultan mi concentración.]","Dinámicas familiares [Recibo apoyo emocional de mi familia cuando tengo dificultades académicas.]","Dinámicas familiares [Mis familiares muestran poco interés por mis estudios.]","Dinámicas familiares [Suelo estudiar con tranquilidad en mi hogar.]","Toma de decisiones  [Antes de decidir algo importante analizo ventajas y desventajas.]","Toma de decisiones  [Elijo actividades académicas de forma impulsiva.]","Toma de decisiones  [Reflexiono sobre cómo mis decisiones afectan mi rendimiento.]","Toma de decisiones  [Pido opiniones para tomar mejores decisiones cuando lo necesito.]","Toma de decisiones  [Me cuesta mantener decisiones que requieren disciplina.]","Toma de decisiones  [Tomo decisiones considerando mis metas académicas a largo plazo.]","Autoestima [Me considero capaz de aprender contenidos difíciles.]","Autoestima [Dudo de mi capacidad académica con frecuencia.]","Autoestima [Estoy conforme con mi desempeño escolar.]","Autoestima [Creo que mis logros académicos reflejan mi esfuerzo.]","Autoestima [Me desmotivo fácilmente cuando no entiendo un tema.]","Autoestima [Confío en que puedo superar los retos académicos.]","Habilidades sociales [Me comunico con claridad cuando trabajo en equipo.]","Habilidades sociales [Evito participar en actividades grupales.]","Habilidades sociales [Escucho activamente las ideas de mis compañeros.]","Habilidades sociales [Me cuesta expresar desacuerdos de forma respetuosa.]","Habilidades sociales [Contribuyo de forma equitativa en trabajos colaborativos]","Habilidades sociales [Suelo mediar en conflictos dentro del equipo.]","Aptitudes cognitivas [Resuelvo problemas lógicos con relativa facilidad.]","Aptitudes cognitivas [Me cuesta hacer cálculos mentales rápidos.]","Aptitudes cognitivas [Encuentro patrones o relaciones entre ideas fácilmente.]","Aptitudes cognitivas [Evito actividades que requieren razonamiento lógico.]","Riesgo de deserción [He pensado en dejar temporalmente mis estudios.]","Riesgo de deserción [He buscado información sobre otras carreras o instituciones.]","Riesgo de deserción [Mi rendimiento académico me hace dudar de continuar.]","Riesgo de deserción [Mi situación personal dificulta continuar la carrera.]","Carga académica [Siento que mi carga de materias es excesiva]","Carga académica [Considero equilibrada mi carga académica respecto a mis capacidades]","Carga académica [Me siento satisfecho(a) con mis calificaciones]","Carga académica [Cuando obtengo una mala calificación me frustro más de lo que debería.]"
"2025/12/09 7:33:13 a. m. GMT-6","Si, Acepto","33","Mujer","Soltero(a)","UNAM","Maestría","Maestría en psicología ","5","9.6","9.8","2","Bachillerato","Bachillerato","Más de $20,000","A veces","Siempre","Casi nunca","Siempre","Siempre","Nunca","Siempre","Siempre","Totalmente de acuerdo","Totalmente de acuerdo","Neutro","Totalmente de acuerdo","Totalmente de acuerdo","Neutro","Totalmente de acuerdo","Totalmente en desacuerdo","Siempre","Siempre","Nunca","Siempre","Nunca","Siempre","Siempre","A veces","Siempre","Siempre","Casi nunca","Siempre","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","En desacuerdo","Totalmente de acuerdo","Casi siempre","Casi nunca","Casi siempre","Casi nunca","Siempre","Casi siempre","Casi siempre","Nunca","Siempre","Nunca","Nunca","Casi nunca","Nunca","Nunca","Siempre","A veces","Casi siempre","Casi siempre"
"2025/12/09 10:02:42 a. m. GMT-6","Si, Acepto","49","Mujer","Casado(a)","UDF Santa María ","Licenciatura","Psicología ","8","8.5","9","3","Bachillerato","Secundaria","Más de $20,000","Casi siempre","Siempre","Casi siempre","Casi siempre","Siempre","Casi nunca","Casi nunca","Nunca","Totalmente de acuerdo","Totalmente de acuerdo","Neutro","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Neutro","Siempre","Casi siempre","A veces","Casi siempre","Siempre","Siempre","Siempre","Casi nunca","Siempre","Casi nunca","Nunca","Siempre","De acuerdo","Totalmente en desacuerdo","De acuerdo","De acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Casi siempre","A veces","Siempre","Nunca","Siempre","Casi siempre","A veces","A veces","Casi siempre","Nunca","Nunca","A veces","Nunca","Nunca","Nunca","Siempre","Casi siempre","A veces"
"2025/12/09 10:05:16 a. m. GMT-6","Si, Acepto","50","Prefiero no decirlo","Unión libre","Anahuac, pero estoy en la UDF ","Doctorado","Psicología ","4","8.9","10","13","Posgrado","Posgrado","Más de $20,000","Casi siempre","Casi siempre","Casi nunca","Siempre","Siempre","Casi nunca","Casi siempre","Nunca","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Neutro","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Neutro","Casi siempre","Siempre","Nunca","Casi siempre","Nunca","Siempre","Siempre","Casi siempre","Casi siempre","A veces","Nunca","Casi siempre","De acuerdo","Neutro","Totalmente de acuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo","Siempre","Nunca","Casi siempre","Siempre","Siempre","A veces","Siempre","Casi nunca","A veces","A veces","Nunca","Casi nunca","Casi nunca","A veces","Casi nunca","Casi nunca","Siempre","Casi siempre"
"2025/12/09 10:07:12 a. m. GMT-6","Si, Acepto","19","Hombre","Soltero(a)","UDF","Licenciatura","Comercio internacional ","2","8","8","5","Bachillerato","Secundaria","10,001–$20,000","A veces","A veces","A veces","A veces","A veces","A veces","A veces","A veces","Neutro","Neutro","Neutro","Neutro","Neutro","Neutro","Neutro","Neutro","A veces","A veces","A veces","A veces","A veces","A veces","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Casi siempre","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Casi siempre","A veces","A veces","A veces","A veces","A veces","A veces","A veces","A veces","A veces","A veces","A veces","A veces"
"2025/12/09 10:08:34 a. m. GMT-6","Si, Acepto","22","Mujer","Soltero(a)","UDF ","Licenciatura","Comercio internacional ","2","9","10","2","Bachillerato","Bachillerato","Menos de $5,000","Siempre","Siempre","Casi siempre","Siempre","Siempre","Siempre","A veces","Siempre","Totalmente de acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","A veces","Siempre","Nunca","Siempre","Nunca","Nunca","Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","De acuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Siempre","Siempre","Siempre","Nunca","Siempre","Siempre","Casi nunca","Siempre","Casi siempre","Nunca","Nunca","Siempre","Nunca","Nunca","Nunca","Nunca","Siempre","Nunca"
"2025/12/09 10:09:05 a. m. GMT-6","Si, Acepto","30","Hombre","Unión libre","UDF","Licenciatura","Comercio internacional y gestión de aduanas ","2","8.4","8.4","2","Universidad","Secundaria","Más de $20,000","Casi siempre","A veces","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Casi siempre","De acuerdo","Totalmente de acuerdo","Neutro","En desacuerdo","De acuerdo","Neutro","Neutro","En desacuerdo","Siempre","Casi siempre","A veces","Casi siempre","Casi nunca","Siempre","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Casi siempre","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Casi siempre","A veces","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Nunca","Casi nunca","Casi nunca","Casi nunca","Casi nunca","Casi siempre","Casi siempre","Casi nunca"
"2025/12/09 10:09:35 a. m. GMT-6","Si, Acepto","22","Hombre","Soltero(a)","Universidad UDF Santa María ","Licenciatura","Psicología ","9","7.0","7.0","4","Universidad","Universidad","Menos de $5,000","Casi nunca","A veces","Siempre","Siempre","Nunca","Nunca","Nunca","A veces","Neutro","De acuerdo","Neutro","Neutro","De acuerdo","Neutro","Neutro","Totalmente en desacuerdo","Siempre","Casi siempre","Casi siempre","Casi siempre","Casi nunca","Siempre","Siempre","Casi nunca","Casi siempre","Casi siempre","A veces","Casi siempre","Neutro","Neutro","Totalmente en desacuerdo","En desacuerdo","Neutro","De acuerdo","A veces","A veces","Casi siempre","Nunca","Siempre","Nunca","Siempre","Casi siempre","Siempre","Nunca","A veces","Nunca","A veces","A veces","Nunca","Casi siempre","A veces","Nunca"
"2025/12/09 10:10:02 a. m. GMT-6","Si, Acepto","22","Mujer","Soltero(a)","UDF","Licenciatura","Comercio Internacional y Gestión Aduanera ","2","9","9.8","5","Primaria","Secundaria","$5,001–$10,000","A veces","Casi siempre","Casi siempre","Casi nunca","A veces","A veces","Casi siempre","A veces","De acuerdo","Totalmente de acuerdo","Neutro","Totalmente de acuerdo","De acuerdo","Neutro","De acuerdo","En desacuerdo","Casi siempre","Siempre","A veces","A veces","Nunca","A veces","A veces","Casi nunca","Casi siempre","Nunca","Casi nunca","Casi siempre","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","Neutro","Totalmente de acuerdo","Siempre","A veces","A veces","Nunca","Siempre","Nunca","Casi siempre","Nunca","Siempre","Casi nunca","A veces","Nunca","Nunca","Nunca","Nunca","Casi siempre","Siempre","Siempre"
"2025/12/09 10:13:29 a. m. GMT-6","Si, Acepto","22","Hombre","Soltero(a)","UDF","Licenciatura","Comercio internacional y gestión aduanera","2","8","8","5","Bachillerato","Secundaria","Menos de $5,000","A veces","A veces","Casi siempre","Casi siempre","Casi siempre","Siempre","Casi siempre","A veces","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Neutro","Totalmente de acuerdo","En desacuerdo","A veces","Casi nunca","A veces","Casi siempre","A veces","A veces","Siempre","Casi siempre","Siempre","Siempre","Nunca","Siempre","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","Neutro","Totalmente de acuerdo","Casi siempre","Casi nunca","Siempre","Nunca","Siempre","Casi siempre","Siempre","A veces","Casi siempre","Casi nunca","A veces","A veces","A veces","A veces","A veces","Casi nunca","A veces","Casi siempre"
"2025/12/09 10:13:52 a. m. GMT-6","No, prefiero no participar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/12/09 10:17:35 a. m. GMT-6","Si, Acepto","20","Mujer","Soltero(a)","Udf","Licenciatura","Licenciaturas en psicología ","7","8.","8.9","2","Secundaria","Universidad","$5,001–$10,000","Nunca","Siempre","Casi nunca","Siempre","Nunca","Nunca","Siempre","Nunca","Neutro","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Neutro","Totalmente de acuerdo","Totalmente en desacuerdo","Siempre","Siempre","Siempre","Siempre","Nunca","Siempre","Nunca","Casi nunca","Siempre","Siempre","Casi siempre","Siempre","Neutro","Neutro","Neutro","Neutro","Neutro","Neutro","A veces","A veces","A veces","A veces","A veces","A veces","Casi nunca","Casi siempre","Siempre","Nunca","Nunca","Casi siempre","Nunca","Nunca","A veces","Nunca","Siempre","Siempre"
"2025/12/09 10:21:19 a. m. GMT-6","Si, Acepto","22","Mujer","Soltero(a)","UDF SANTA MARÍA ","Licenciatura","Comercio internacional y Gestión Aduanera ","9","9.0 ","8.3 ","5","Bachillerato","Bachillerato","10,001–$20,000","A veces","Casi nunca","A veces","A veces","Casi nunca","A veces","A veces","Casi nunca","De acuerdo","Neutro","De acuerdo","De acuerdo","Neutro","De acuerdo","Neutro","De acuerdo","A veces","A veces","A veces","A veces","A veces","A veces","A veces","Casi siempre","A veces","Casi siempre","A veces","Casi siempre","De acuerdo","De acuerdo","De acuerdo","Neutro","De acuerdo","Neutro","A veces","A veces","Casi nunca","A veces","Casi nunca","A veces","A veces","Casi nunca","A veces","Casi nunca","A veces","Casi nunca","A veces","Casi nunca","A veces","A veces","A veces","A veces"
"2025/12/09 10:22:07 a. m. GMT-6","Si, Acepto","29","Mujer","Soltero(a)","UDF","Licenciatura","Psicología ","8","9","8.7","4","Primaria","Universidad","10,001–$20,000","Casi siempre","Casi siempre","A veces","Casi siempre","A veces","A veces","A veces","A veces","Totalmente de acuerdo","Totalmente de acuerdo","En desacuerdo","Neutro","Totalmente de acuerdo","En desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Siempre","A veces","Casi siempre","Siempre","Casi siempre","A veces","A veces","Casi nunca","A veces","Siempre","Casi nunca","Casi siempre","De acuerdo","En desacuerdo","En desacuerdo","De acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Casi siempre","Casi nunca","Siempre","A veces","Casi siempre","A veces","A veces","A veces","Casi siempre","Nunca","A veces","Casi nunca","A veces","A veces","A veces","Siempre","A veces","A veces"
"2025/12/09 10:22:09 a. m. GMT-6","Si, Acepto","26","Mujer","Unión libre","UDF","Licenciatura","Psicología ","8","8.6","8","3","Bachillerato","Universidad","$5,001–$10,000","Casi siempre","Siempre","Nunca","Casi siempre","Siempre","Casi nunca","A veces","Casi siempre","Neutro","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","Totalmente en desacuerdo","De acuerdo","Totalmente en desacuerdo","Siempre","Casi siempre","Siempre","Nunca","Casi siempre","Nunca","Casi siempre","Nunca","Casi siempre","Siempre","A veces","Siempre","Totalmente de acuerdo","Neutro","Totalmente de acuerdo","Totalmente de acuerdo","En desacuerdo","Totalmente de acuerdo","Casi siempre","A veces","Siempre","Casi nunca","Siempre","Casi siempre","Casi siempre","Casi nunca","Casi siempre","Casi nunca","Casi siempre","Casi nunca","Nunca","Casi siempre","Nunca","Casi siempre","Siempre","A veces"
"2025/12/09 10:23:54 a. m. GMT-6","Si, Acepto","27","Mujer","Soltero(a)","Universidad del distrito federal","Licenciatura","Licenciatura en derecho","6","9.6","9.8","3","Universidad","Bachillerato","Más de $20,000","A veces","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Siempre","Casi nunca","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Casi siempre","Siempre","A veces","A veces","Casi nunca","Casi siempre","Casi siempre","Casi nunca","Siempre","Casi nunca","Casi nunca","Siempre","De acuerdo","Neutro","Neutro","De acuerdo","De acuerdo","Totalmente de acuerdo","Siempre","Siempre","A veces","Nunca","Siempre","A veces","Siempre","Casi nunca","Siempre","A veces","A veces","Siempre","Nunca","Casi siempre","A veces","Casi nunca","Casi siempre","Casi nunca"
"2025/12/09 10:24:43 a. m. GMT-6","Si, Acepto","21","Mujer","Soltero(a)","UDF Santa María ","Licenciatura","Licenciatura en derecho ","6","9.6","9.6","4","Bachillerato","Secundaria","10,001–$20,000","Casi siempre","Siempre","Nunca","Casi siempre","A veces","Nunca","Siempre","Nunca","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Casi siempre","A veces","Nunca","A veces","Nunca","Casi siempre","A veces","A veces","Casi siempre","Casi nunca","Nunca","Siempre","Totalmente de acuerdo","Totalmente en desacuerdo","Neutro","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Casi siempre","Nunca","A veces","Casi nunca","Siempre","Nunca","Siempre","Casi nunca","Siempre","Nunca","Nunca","Siempre","A veces","Nunca","Nunca","Siempre","A veces","Casi siempre"
"2025/12/09 10:24:55 a. m. GMT-6","Si, Acepto","21","Mujer","Soltero(a)","Universidad del Distrito Federal ","Licenciatura","Comercio internacional y gestión aduanera ","9","8.0 ","8.4","4","Bachillerato","Secundaria","10,001–$20,000","A veces","Casi nunca","Casi siempre","A veces","A veces","Casi siempre","A veces","A veces","De acuerdo","De acuerdo","Neutro","Totalmente de acuerdo","De acuerdo","En desacuerdo","De acuerdo","Neutro","Casi nunca","Nunca","Casi siempre","Nunca","Nunca","Nunca","Nunca","Nunca","Casi siempre","Casi siempre","Casi siempre","A veces","Totalmente de acuerdo","Totalmente de acuerdo","En desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Casi nunca","A veces","A veces","Casi siempre","A veces","A veces","A veces","A veces","A veces","A veces","A veces","A veces","Siempre","Siempre","A veces","Casi nunca","Casi nunca","A veces"
"2025/12/09 10:25:41 a. m. GMT-6","Si, Acepto","28","Mujer","Soltero(a)","Udf santa Maria","Licenciatura","Comercio internacional y gestión aduanera ","2","8","9","5","Secundaria","Primaria","$5,001–$10,000","A veces","A veces","A veces","Siempre","A veces","A veces","Casi siempre","Nunca","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Neutro","Neutro","Neutro","Totalmente en desacuerdo","Casi siempre","A veces","Nunca","Casi siempre","Nunca","Siempre","Siempre","Nunca","Siempre","A veces","Nunca","Nunca","Neutro","Neutro","Neutro","Neutro","Totalmente en desacuerdo","Totalmente de acuerdo","Casi siempre","Casi siempre","Casi siempre","Nunca","Siempre","Siempre","Siempre","Casi siempre","Casi siempre","Casi siempre","Nunca","Nunca","Nunca","Nunca","Nunca","A veces","A veces","Nunca"
"2025/12/09 10:28:01 a. m. GMT-6","Si, Acepto","20","Mujer","Soltero(a)","Universidad del distrito federal ","Licenciatura","Derecho","6","8","8","5","Secundaria","Secundaria","$5,001–$10,000","Casi siempre","Siempre","Casi nunca","Siempre","Siempre","Nunca","Siempre","Nunca","De acuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Casi siempre","Casi siempre","A veces","Casi siempre","Casi nunca","Casi nunca","Siempre","Nunca","Siempre","Siempre","Nunca","Siempre","Neutro","Neutro","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","A veces","A veces","Siempre","Nunca","Siempre","A veces","A veces","Casi siempre","A veces","Casi siempre","A veces","Casi siempre","Casi siempre","Casi siempre","Nunca","Casi siempre","Casi nunca","Siempre"
