"Marca temporal","Antes de comenzar:
"2025/12/09 10:30:35 a. m. GMT-6","Si, Acepto","27","Hombre","Soltero(a)","Universidad del distrito federal ","Licenciatura","Licenciatura en Derecho ","6","8.0","8.0","4","Secundaria","Secundaria","$5,001–$10,000","Casi siempre","Siempre","Casi siempre","Casi siempre","Casi siempre","Casi nunca","Siempre","A veces","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","Neutro","De acuerdo","En desacuerdo","Neutro","Neutro","A veces","Casi siempre","Nunca","A veces","Casi nunca","Siempre","Siempre","A veces","Siempre","Casi siempre","A veces","Siempre","Totalmente de acuerdo","Totalmente en desacuerdo","Neutro","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Casi siempre","A veces","Siempre","Casi nunca","Siempre","Siempre","Siempre","A veces","Siempre","Nunca","Nunca","Nunca","Nunca","Casi nunca","Nunca","Siempre","A veces","A veces"
"2025/12/09 6:25:20 p. m. GMT-6","Si, Acepto","22","Mujer","Soltero(a)","UDF","Licenciatura","Psicología","7","8","8.5","5","Universidad","Universidad","10,001–$20,000","Nunca","Casi siempre","A veces","Casi siempre","A veces","A veces","Casi nunca","Casi siempre","Totalmente de acuerdo","Totalmente de acuerdo","Neutro","De acuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","Neutro","Casi siempre","A veces","Casi siempre","Casi siempre","A veces","Siempre","Casi siempre","Casi nunca","A veces","A veces","A veces","Casi siempre","Totalmente de acuerdo","Neutro","Totalmente de acuerdo","Totalmente de acuerdo","En desacuerdo","De acuerdo","Siempre","Casi nunca","Siempre","A veces","Casi siempre","A veces","Casi siempre","Casi nunca","A veces","Casi nunca","Nunca","Nunca","Nunca","Nunca","Nunca","Casi siempre","Casi siempre","Casi nunca"
"2025/12/09 7:14:36 p. m. GMT-6","Si, Acepto","21","Mujer","Soltero(a)","UVM","Licenciatura","Psicología ","1","9.0","9.0","4","Bachillerato","Secundaria","Más de $20,000","A veces","A veces","A veces","Casi siempre","A veces","A veces","Casi nunca","A veces","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Siempre","Siempre","Casi nunca","Siempre","Nunca","Siempre","Casi siempre","A veces","A veces","Casi siempre","Casi siempre","Casi siempre","Totalmente de acuerdo","En desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","En desacuerdo","Neutro","Siempre","Casi nunca","Siempre","Casi nunca","Siempre","Casi nunca","A veces","A veces","A veces","A veces","Nunca","Nunca","Nunca","A veces","Casi nunca","Casi siempre","Casi siempre","Casi nunca"
"2025/12/09 7:15:59 p. m. GMT-6","Si, Acepto","32","Mujer","Soltero(a)","UVM lomas verdes ","Licenciatura","Psicología ","1","9.5","9.5","4","Bachillerato","Bachillerato","10,001–$20,000","A veces","A veces","Casi siempre","Siempre","Casi siempre","A veces","Casi siempre","A veces","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","En desacuerdo","Totalmente de acuerdo","En desacuerdo","Casi siempre","Siempre","Casi nunca","Siempre","Nunca","Siempre","Casi siempre","Casi siempre","Casi siempre","A veces","Casi nunca","Casi nunca","Totalmente de acuerdo","En desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","En desacuerdo","Totalmente de acuerdo","Siempre","Nunca","Siempre","Nunca","Siempre","Siempre","Siempre","A veces","Siempre","Casi nunca","Nunca","Casi nunca","Casi nunca","Casi nunca","Casi nunca","Casi siempre","Siempre","A veces"
"2025/12/09 7:16:41 p. m. GMT-6","Si, Acepto","31","Mujer","Soltero(a)","Uvm","Licenciatura","Psicológica ","1","9","8","5","Universidad","Universidad","Más de $20,000","Casi nunca","Nunca","A veces","Casi nunca","A veces","A veces","A veces","Casi nunca","De acuerdo","De acuerdo","Neutro","De acuerdo","De acuerdo","Neutro","De acuerdo","Neutro","A veces","A veces","A veces","Siempre","Nunca","Casi siempre","Siempre","Casi nunca","A veces","Casi siempre","A veces","A veces","De acuerdo","Neutro","De acuerdo","De acuerdo","Neutro","Neutro","Casi siempre","Casi nunca","Casi siempre","Nunca","Casi siempre","Casi siempre","A veces","Casi siempre","A veces","A veces","Nunca","Nunca","Nunca","Casi nunca","Casi nunca","Casi siempre","Casi siempre","Casi nunca"
"2025/12/09 7:20:02 p. m. GMT-6","Si, Acepto","25","Hombre","Soltero(a)","Universidad del valle de México ","Licenciatura","Licenciatura en psicología ","1","7.7","7.7","3 ","Universidad","Universidad","Más de $20,000","Casi nunca","A veces","Casi siempre","Casi siempre","A veces","A veces","A veces","Casi nunca","Neutro","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Neutro","Neutro","Siempre","Casi nunca","Casi nunca","Casi siempre","Nunca","Casi siempre","Casi siempre","Casi nunca","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Neutro","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","Neutro","Casi siempre","A veces","Casi siempre","Casi nunca","Siempre","A veces","Casi siempre","Casi nunca","Casi siempre","Casi nunca","A veces","A veces","A veces","Casi nunca","Casi nunca","A veces","Casi nunca","A veces"
"2025/12/09 7:20:13 p. m. GMT-6","Si, Acepto","25","Hombre","Soltero(a)","Universidad del valle de México ","Licenciatura","Licenciatura en psicología ","1","7.7","7.7","3 ","Universidad","Universidad","Más de $20,000","Casi nunca","A veces","Casi siempre","Casi siempre","A veces","A veces","A veces","Casi nunca","Neutro","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Neutro","Neutro","Siempre","Casi nunca","Casi nunca","Casi siempre","Nunca","Casi siempre","Casi siempre","Casi nunca","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Neutro","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","Neutro","Casi siempre","A veces","Casi siempre","Casi nunca","Siempre","A veces","Casi siempre","Casi nunca","Casi siempre","Casi nunca","A veces","A veces","A veces","Casi nunca","Casi nunca","A veces","Casi nunca","A veces"
"2025/12/09 7:21:28 p. m. GMT-6","Si, Acepto","27","Mujer","Soltero(a)","UVM","Licenciatura","Psicóloga ","1","9","9","4","Universidad","Universidad","Más de $20,000","A veces","Casi siempre","Casi siempre","Casi siempre","Casi siempre","A veces","A veces","Casi siempre","En desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","En desacuerdo","Totalmente de acuerdo","En desacuerdo","Siempre","Siempre","Casi nunca","Nunca","Nunca","Casi siempre","Casi siempre","A veces","Siempre","Siempre","Nunca","Siempre","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Casi siempre","A veces","Casi siempre","A veces","Casi siempre","Casi siempre","A veces","Siempre","Casi nunca","Casi siempre","Nunca","Nunca","A veces","Casi nunca","Casi siempre","Casi nunca","Casi siempre","Siempre"
"2025/12/09 7:21:33 p. m. GMT-6","Si, Acepto","26","Hombre","Soltero(a)","UVM campus lomas verdes","Bachillerato","Psicología","1","8.5","8.1","4","Primaria","Posgrado","$5,001–$10,000","A veces","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Casi siempre","A veces","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","A veces","A veces","Casi siempre","A veces","A veces","Siempre","A veces","Casi nunca","Casi siempre","A veces","A veces","Casi siempre","De acuerdo","Neutro","De acuerdo","Totalmente de acuerdo","Neutro","Neutro","A veces","Casi siempre","Casi siempre","Nunca","Casi siempre","A veces","A veces","Casi nunca","A veces","Nunca","Nunca","Nunca","Nunca","Nunca","Nunca","Nunca","Nunca","A veces"
"2025/12/09 7:22:30 p. m. GMT-6","Si, Acepto","27","Hombre","Soltero(a)","UVM Campus Lomas Verdes ","Licenciatura","Licenciatura Ejecutiva en Psicología ","1","8.6","8.6","5","Universidad","Bachillerato","$5,001–$10,000","A veces","Casi siempre","Casi siempre","Casi siempre","Casi siempre","A veces","Casi siempre","Casi nunca","Neutro","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Neutro","De acuerdo","Totalmente en desacuerdo","Siempre","Siempre","Nunca","Siempre","Nunca","Casi siempre","A veces","Nunca","Casi siempre","Casi siempre","A veces","Casi siempre","De acuerdo","Neutro","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","Casi siempre","Casi nunca","Siempre","Casi nunca","Casi siempre","Casi siempre","Casi siempre","Casi nunca","A veces","Casi nunca","A veces","A veces","Casi nunca","Nunca","Casi nunca","Casi siempre","Nunca","Casi nunca"
"2025/12/09 7:25:49 p. m. GMT-6","Si, Acepto","47","Mujer","Casado(a)","UVM ","Licenciatura","Psicología ","1","9 ","9 ","5","Universidad","Universidad","Más de $20,000","A veces","Siempre","A veces","Siempre","A veces","A veces","A veces","A veces","De acuerdo","De acuerdo","De acuerdo","Totalmente en desacuerdo","Neutro","Totalmente en desacuerdo","Totalmente de acuerdo","En desacuerdo","Siempre","Casi siempre","A veces","Siempre","A veces","Casi siempre","A veces","A veces","Casi siempre","Casi siempre","A veces","Siempre","Neutro","De acuerdo","Neutro","De acuerdo","Neutro","De acuerdo","Siempre","Nunca","Siempre","Nunca","Siempre","Casi siempre","Casi siempre","A veces","Casi siempre","A veces","Casi nunca","Nunca","Nunca","A veces","Casi nunca","Casi siempre","Casi siempre","Casi nunca"
"2025/12/09 7:26:54 p. m. GMT-6","Si, Acepto","50 ","Mujer","Soltero(a)","UVM","Licenciatura","Lic. Wn psicologia","1","9.8","9.9","5","Primaria","Primaria","$5,001–$10,000","Siempre","Siempre","Casi nunca","Siempre","Casi siempre","Casi siempre","Siempre","Casi siempre","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","Neutro","Totalmente de acuerdo","Totalmente en desacuerdo","Neutro","Neutro","Siempre","Casi siempre","Nunca","Siempre","A veces","Siempre","Siempre","A veces","A veces","A veces","Casi nunca","A veces","De acuerdo","Totalmente en desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Neutro","Casi siempre","Nunca","Siempre","Casi siempre","Casi siempre","A veces","Casi siempre","Casi siempre","Siempre","Casi siempre","Casi nunca","Nunca","Nunca","Nunca","Nunca","Casi siempre","Casi siempre","Casi siempre"
"2025/12/09 7:28:47 p. m. GMT-6","Si, Acepto","38","Mujer","Soltero(a)","UVM Lomas Verdes ","Licenciatura","Lic. Psicologia ","1","9.5","9","7","Universidad","Primaria","Menos de $5,000","Siempre","Siempre","Siempre","Siempre","Siempre","Casi nunca","A veces","Casi nunca","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Casi siempre","A veces","Nunca","Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","Casi siempre","Siempre","Siempre","De acuerdo","Totalmente en desacuerdo","De acuerdo","Totalmente de acuerdo","En desacuerdo","De acuerdo","Casi siempre","Nunca","Casi siempre","Nunca","Casi siempre","Siempre","Casi siempre","Nunca","A veces","Casi nunca","Casi nunca","A veces","Casi nunca","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Casi nunca"
"2025/12/09 7:33:01 p. m. GMT-6","Si, Acepto","42","Mujer","Soltero(a)","Uvm","Licenciatura","Psicologia","1","9","9","4","Posgrado","Universidad","10,001–$20,000","Casi siempre","Siempre","Casi siempre","Siempre","Siempre","Casi siempre","Casi siempre","Casi siempre","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Neutro","Totalmente de acuerdo","Neutro","Siempre","Siempre","A veces","Casi siempre","Casi nunca","Siempre","Siempre","Casi nunca","Siempre","Siempre","Casi nunca","Siempre","De acuerdo","En desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","En desacuerdo","Totalmente de acuerdo","Casi siempre","Casi nunca","Siempre","Siempre","Siempre","Siempre","Casi siempre","A veces","Casi siempre","Casi nunca","Casi nunca","A veces","Nunca","Nunca","A veces","Siempre","Siempre","Casi nunca"
"2025/12/09 7:35:54 p. m. GMT-6","Si, Acepto","37","Hombre","Soltero(a)","UVM","Licenciatura","Psicología ","1","8","8","4","Secundaria","Secundaria","10,001–$20,000","A veces","Casi nunca","Casi nunca","A veces","Casi siempre","A veces","A veces","A veces","Neutro","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo","Neutro","De acuerdo","Casi siempre","Casi siempre","A veces","Casi siempre","Casi siempre","Casi siempre","A veces","A veces","A veces","A veces","A veces","A veces","Neutro","En desacuerdo","En desacuerdo","Neutro","En desacuerdo","En desacuerdo","A veces","Casi nunca","Casi nunca","Casi nunca","A veces","Casi nunca","Casi nunca","A veces","A veces","A veces","A veces","A veces","Casi nunca","A veces","A veces","Casi nunca","A veces","A veces"
"2025/12/09 8:31:07 p. m. GMT-6","Si, Acepto","24","Mujer","Soltero(a)","Universidad del Valle de México ","Licenciatura","Psicología ","1","9.7","9.7","9","Bachillerato","Secundaria","Más de $20,000","Siempre","Siempre","Casi nunca","Siempre","Siempre","Nunca","A veces","Nunca","Totalmente de acuerdo","Totalmente de acuerdo","Neutro","Neutro","En desacuerdo","Neutro","Totalmente de acuerdo","Totalmente en desacuerdo","Siempre","Casi nunca","Nunca","Siempre","Nunca","Casi siempre","Casi siempre","Nunca","Casi siempre","Siempre","Nunca","Siempre","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Siempre","Nunca","Siempre","Nunca","Siempre","Casi siempre","Siempre","Nunca","Siempre","Nunca","Nunca","Siempre","Nunca","Nunca","Nunca","Siempre","Siempre","Casi nunca"
"2025/12/10 7:24:20 p. m. GMT-6","Si, Acepto","42","Mujer","Casado(a)","UVM","Licenciatura","Psicología ","7","9.2","9.6","6","Universidad","Universidad","Más de $20,000","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Casi siempre","A veces","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo","De acuerdo","Siempre","Siempre","A veces","Casi siempre","A veces","Siempre","Siempre","A veces","A veces","A veces","A veces","A veces","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Siempre","Siempre","Siempre","A veces","Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","Casi siempre","Casi siempre","Siempre","Siempre","A veces","A veces","A veces","A veces"
"2025/12/10 7:25:42 p. m. GMT-6","Si, Acepto","28","Hombre","Soltero(a)","UVM","Licenciatura","Psicología","7","9.3","9.3","3","Bachillerato","Universidad","Más de $20,000","Casi siempre","Casi siempre","A veces","A veces","Casi siempre","A veces","A veces","Casi siempre","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Neutro","Totalmente de acuerdo","De acuerdo","Siempre","Siempre","Siempre","Siempre","Casi siempre","A veces","Siempre","Casi siempre","Siempre","Siempre","Casi siempre","Casi siempre","De acuerdo","De acuerdo","Neutro","Totalmente de acuerdo","Neutro","Neutro","Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","Nunca","Nunca","Nunca","Nunca","Casi siempre","A veces","A veces","Casi siempre"
"2025/12/10 7:26:39 p. m. GMT-6","Si, Acepto","21","Hombre","Soltero(a)","Universidad del valle de mexico","Licenciatura","Psicologia","6","9","8","3","Bachillerato","Universidad","Menos de $5,000","A veces","A veces","A veces","A veces","A veces","A veces","A veces","A veces","Neutro","Neutro","Neutro","Neutro","Neutro","Neutro","Neutro","Neutro","A veces","A veces","A veces","A veces","A veces","A veces","A veces","A veces","A veces","A veces","A veces","A veces","Neutro","Neutro","Neutro","Neutro","Neutro","Neutro","A veces","A veces","A veces","A veces","A veces","A veces","A veces","Casi siempre","A veces","A veces","Nunca","Casi nunca","Casi nunca","A veces","A veces","A veces","A veces","A veces"
"2025/12/10 7:27:09 p. m. GMT-6","Si, Acepto","22","Mujer","Soltero(a)","UVM","Licenciatura","Psicología ","7","9.3","9","3","Universidad","Posgrado","$5,001–$10,000","A veces","A veces","A veces","Casi siempre","Casi siempre","A veces","A veces","Casi nunca","Neutro","De acuerdo","Neutro","De acuerdo","De acuerdo","En desacuerdo","Neutro","Neutro","Casi siempre","A veces","Nunca","Casi siempre","Nunca","Casi siempre","Casi siempre","A veces","Casi siempre","Casi siempre","Casi siempre","A veces","De acuerdo","Neutro","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Casi siempre","Casi nunca","Siempre","Nunca","Casi siempre","Casi siempre","A veces","Casi siempre","A veces","A veces","Casi nunca","Casi nunca","Casi nunca","Casi nunca","Casi nunca","A veces","Casi siempre","A veces"
"2025/12/10 7:29:36 p. m. GMT-6","Si, Acepto","36","Mujer","Soltero(a)","UVM CAMPUS CUMBRES","Licenciatura","LX PSICOLOGÍA","6","9.5","9.5","01","Bachillerato","Secundaria","Más de $20,000","A veces","Casi siempre","Casi siempre","Casi siempre","A veces","Casi nunca","Casi nunca","Casi nunca","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo","En desacuerdo","De acuerdo","Totalmente en desacuerdo","Siempre","Casi siempre","Nunca","Siempre","Nunca","Siempre","Siempre","Casi nunca","Siempre","Casi siempre","Nunca","Siempre","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Neutro","Totalmente de acuerdo","Siempre","Casi nunca","Casi siempre","Casi nunca","Casi siempre","Siempre","Siempre","A veces","Siempre","Casi nunca","Nunca","A veces","Nunca","Nunca","Nunca","Casi siempre","Siempre","A veces"
"2025/12/10 7:32:15 p. m. GMT-6","Si, Acepto","39","Mujer","Soltero(a)","UVM","Licenciatura","Psicología","6","9.7","9.7","4","Primaria","Primaria","Más de $20,000","Siempre","Siempre","Casi siempre","Casi siempre","Siempre","Casi siempre","Siempre","Casi siempre","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","A veces","Siempre","Casi nunca","Nunca","Siempre","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Siempre","Casi nunca","Siempre","Nunca","Siempre","Casi nunca","Siempre","Nunca","Siempre","Nunca","Casi nunca","Nunca","Nunca","Nunca","Nunca","Siempre","Siempre","Casi nunca"
"2025/12/10 7:39:39 p. m. GMT-6","Si, Acepto","20 ","Hombre","Soltero(a)","uvm campus cumbres ","Licenciatura","Psicología ","7","9 ","9 ","3","Universidad","Posgrado","Menos de $5,000","Siempre","Casi siempre","Casi siempre","A veces","Casi siempre","Casi siempre","Casi siempre","A veces","Totalmente de acuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","Casi siempre","Casi siempre","A veces","Casi siempre","A veces","Casi siempre","A veces","Casi siempre","Casi siempre","Casi siempre","A veces","Casi siempre","De acuerdo","En desacuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Casi siempre","Casi nunca","Siempre","A veces","Casi siempre","Casi nunca","Nunca","Casi siempre","Casi siempre","Casi siempre","Nunca","Casi nunca","Casi nunca","A veces","A veces","Casi siempre","Siempre","Casi nunca"
"2025/12/10 7:40:25 p. m. GMT-6","Si, Acepto","43","Mujer","Casado(a)","UVM CUMBRES","Licenciatura","PSICOLOGÍA LX","10","9.7","9.5","2","Bachillerato","Universidad","Más de $20,000","A veces","Casi nunca","A veces","Casi siempre","Siempre","A veces","Casi nunca","Nunca","De acuerdo","De acuerdo","Neutro","Neutro","Neutro","Neutro","De acuerdo","Neutro","Casi siempre","Casi siempre","A veces","Casi siempre","A veces","Casi siempre","Siempre","Nunca","Siempre","Siempre","A veces","Siempre","Neutro","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","Siempre","A veces","Siempre","Nunca","Siempre","Casi siempre","Casi siempre","Casi siempre","A veces","A veces","A veces","A veces","Casi nunca","A veces","A veces","A veces","Casi siempre","A veces"
"2025/12/10 7:49:59 p. m. GMT-6","Si, Acepto","33","Hombre","Casado(a)","uvm","Licenciatura","Psicologia","7","9.5","9.5","4","Bachillerato","Secundaria","10,001–$20,000","A veces","Casi nunca","Casi nunca","Casi siempre","A veces","Casi siempre","Casi nunca","Casi siempre","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Siempre","Nunca","A veces","Siempre","Nunca","A veces","Casi siempre","Casi nunca","Casi siempre","Casi nunca","Casi siempre","Siempre","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","En desacuerdo","Totalmente de acuerdo","Siempre","Nunca","Siempre","Nunca","Siempre","A veces","Siempre","Nunca","Siempre","Nunca","Nunca","Nunca","Nunca","Nunca","A veces","Casi siempre","Siempre","A veces"
"2025/12/10 8:07:35 p. m. GMT-6","Si, Acepto","22 ","Hombre","Soltero(a)","UVM","Licenciatura","Psicología","7","8.5","8.5","4","Secundaria","Universidad","10,001–$20,000","Casi siempre","Casi siempre","A veces","Casi siempre","Casi siempre","Casi siempre","Casi siempre","A veces","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","Siempre","Siempre","Casi siempre","Siempre","Nunca","Siempre","Siempre","Casi nunca","Casi siempre","Casi siempre","Casi siempre","Casi siempre","Neutro","De acuerdo","Totalmente en desacuerdo","De acuerdo","De acuerdo","Neutro","A veces","A veces","Casi siempre","A veces","Casi siempre","Casi siempre","A veces","Casi siempre","A veces","Casi nunca","Casi siempre","Casi siempre","Casi siempre","Casi siempre","A veces","A veces","A veces","Casi siempre"